Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
220556.97441101074,757.2142857142857,785.2142857142857,0,443,392,114111.18507385254,36149.523434873176,10601,10601,36211,24506.330490112305,1280.0,206678.1520843506,249247.07412719727,56153.11653711721,96.28999691989233,0.7142857142857143,INSTAGRAM,instagram3.pcap
0.0,36.0,64.0,0,53,28,0.0,0.0,36,36,21162,0.0,64.0,0.0,9986.162185668945,16823.279742151128,200.27713978751342,1.0,INSTAGRAM,instagram3.pcap
82918090.10505676,174.67741935483872,202.67741935483872,0,443,1736,34832970.1423645,4854702.722820198,10830,10830,51327,1120514.7311494157,1280.0,82962002.03895569,82962002.03895569,249.65646309107223,1.651358412682353,1.2096774193548387,INSTAGRAM,instagram3.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,54755,0.0,72.0,0.0,9350.061416625977,20855.47798148762,213.9023382716679,1.0,INSTAGRAM,instagram3.pcap
2439981.9374084473,463.76,504.56,65535,443,1020,1561972.1412658691,342969.7453463395,11594,11594,54628,121999.09687042236,4085.0,2470441.1029815674,2471482.038497925,8683.858375537218,18.612314102819496,0.84,INSTAGRAM,instagram3.pcap
1876453.8764953613,340.6666666666667,382.0,65535,443,620,1679351.0913848877,416728.47557836585,5110,5110,54668,125096.92509969075,4085.0,1899743.0801391602,1900568.962097168,5055.8544265592045,16.31090511222139,1.0666666666666667,INSTAGRAM,instagram3.pcap
1872791.051864624,335.3333333333333,376.6666666666667,65535,443,620,1654284.0003967285,453803.5233272345,5030,5030,54646,156065.92098871866,4129.0,1893517.9710388184,1895057.9166412354,5145.489177070897,14.775274018868336,0.8666666666666667,INSTAGRAM,instagram3.pcap
1865256.0710906982,48.5,90.16666666666667,65535,443,500,1798155.0693511963,562528.5787391989,582,582,54658,207250.67456563315,385.0,1889626.9798278809,1892310.1425170898,1031.0149251775624,11.62600120651275,0.8333333333333334,INSTAGRAM,instagram3.pcap
1864217.99659729,337.8666666666667,379.2,65535,443,620,1633195.161819458,465191.22217283526,5068,5068,54640,169474.36332702637,4091.0,1884867.9065704346,1888706.922531128,5227.915396618273,14.295494805417599,0.8,INSTAGRAM,instagram3.pcap
83435195.92285156,494.2857142857143,522.2857142857143,0,443,392,80137024.87945557,19942675.039461862,6920,6920,58096,5562346.3948567705,1280.0,83431485.17608643,83461425.06599426,213.30812391380675,0.35944749297389217,1.1428571428571428,INSTAGRAM,instagram3.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,30657,0.0,61.0,0.0,7616.0430908203125,21927.396944653145,262.6035562233909,1.0,INSTAGRAM,instagram3.pcap
26673.79379272461,73.8,117.8,65535,443,220,13103.008270263672,4729.546619539516,369,369,44284,6668.448448181152,409.0,50182.10411071777,50246.9539642334,19324.554493217114,199.01703906505782,1.0,INSTAGRAM,instagram3.pcap
12797.117233276367,61.5,104.83333333333333,65535,443,260,4732.1319580078125,1758.95508212219,369,369,48908,3199.279308319092,409.0,30140.161514282227,30167.102813720703,33513.32762190785,364.6356121078005,0.8333333333333334,INSTAGRAM,instagram3.pcap
80160722.97096252,270.6666666666667,298.6666666666667,0,443,168,80117995.97740173,29855031.037769154,1624,1624,46861,13360120.495160421,1280.0,80162768.12553406,80175415.99273682,50.102639945939345,0.1621444658444639,1.1666666666666667,INSTAGRAM,instagram3.pcap
80162737.13111877,270.6666666666667,298.6666666666667,0,443,168,80119604.11071777,29855600.113730934,1624,1624,33203,13360456.188519796,1280.0,80166785.00175476,80174188.13705444,50.07846157589428,0.16214694906267138,1.1666666666666667,INSTAGRAM,instagram3.pcap
0.0,40.0,68.0,0,53,28,0.0,0.0,40,40,31130,0.0,68.0,0.0,8721.113204956055,20180.90992099292,229.328521829465,1.0,INSTAGRAM,instagram3.pcap
118636264.80102539,254.46153846153845,296.0,65535,443,540,118417423.96354675,37206441.55225063,3308,3308,57604,13181807.200113932,1611.0,118670402.05001831,118670594.9306488,48.70625282849418,0.1938138088331083,0.7692307692307693,INSTAGRAM,instagram3.pcap
206616.87850952148,712.0,740.0,0,443,336,93744.03953552246,30734.70263452662,8544,8544,42811,22957.430945502387,1280.0,196362.01858520508,239098.07205200195,49699.27150820162,92.01245251034551,0.8333333333333334,INSTAGRAM,instagram3.pcap
0.0,36.0,64.0,0,53,28,0.0,0.0,36,36,19646,0.0,64.0,0.0,9687.90054321289,17341.218486981346,206.4430772259684,1.0,INSTAGRAM,instagram3.pcap
1857861.042022705,1252.0,1280.0,0,443,28,1028022.050857544,295505.42000295187,1252,1252,54575,154821.7535018921,1280.0,0.0,1887134.075164795,4740.521681915359,7.418656779210266,13.0,INSTAGRAM,instagram3.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,9769,0.0,61.0,0.0,9258.031845092773,19442.577322242538,216.02863691380597,1.0,INSTAGRAM,instagram3.pcap
5692843.914031982,186.53571428571428,227.25,65535,443,1140,5078257.79914856,908656.0857243724,5223,5223,35280,189761.46380106607,1761.0,5749847.888946533,5750111.818313599,1600.8384342514676,10.260670029422768,1.1071428571428572,INSTAGRAM,instagram3.pcap
512937.068939209,138.57142857142858,179.28571428571428,65535,443,1140,106451.98822021484,31101.14999417165,3880,3880,38422,23315.32131541859,967.0,537399.0535736084,537611.0076904297,13457.685755136361,94.86412902722245,0.8214285714285714,INSTAGRAM,instagram3.pcap
0.0,44.0,72.0,0,53,28,0.0,0.0,44,44,41691,0.0,72.0,0.0,21420.955657958984,9243.285087816932,93.36651603855486,1.0,INSTAGRAM,instagram3.pcap
160612.1063232422,241.14285714285714,269.14285714285717,0,443,196,104579.21028137207,30295.960103387788,1688,1688,40182,13384.342193603516,1280.0,186214.20860290527,188598.1559753418,52381.212047967354,106.0455755602133,1.8571428571428572,INSTAGRAM,instagram3.pcap
